bad_prompts,improved_prompts,Mistral_prompts
What's metamorphosis?,Explain the process of metamorphosis to a first-grade student.,Define metamorphosis and its biological significance.
Write about symbolism in Poe's works.,Write a comprehensive critique of the use of symbolism in Edgar Allan Poe's works.,Explore the significance of symbolism in Edgar Allan Poe's literary works. Discuss how various symbols contribute to the themes and atmosphere in his stories and poems.
What did the Vietnam War do to America?,Discuss the political and cultural impact of the Vietnam War on American society.,How did the Vietnam War impact American society and politics?
Write a story about a bank robbery.,Write a suspenseful short story about a daring bank robbery in downtown Manhattan.,"Compose a narrative involving a daring bank heist, focusing on the motivations, challenges, and outcomes faced by the characters involved."
"What does ""Alice in Wonderland"" say about reality and fantasy?","Analyze the theme of reality and fantasy in Lewis Carroll's ""Alice in Wonderland.""","Analyze the themes of reality and fantasy in ""Alice in Wonderland,"" and discuss their interplay."
Write a story about a stray dog.,Write a touching story about a rescued stray dog's journey to find a new home.,"Craft a narrative centered around a homeless canine, exploring its experiences and encounters."
What's the history of jazz music?,Discuss the cultural significance and evolution of the jazz music genre.,Discover the origins and evolution of jazz music throughout history.
Write a story about a world where emotions are controlled.,Write a dystopian story about a society where emotions are regulated by the government.,Compose a narrative set in a realm where emotional regulation is mandated and governed.
What are atoms and molecules?,Explain the concept of atoms and molecules to a seventh-grade student.,Rewritten Prompt: Could you explain in detail the fundamental nature and composition of atoms and molecules?
Argue for saving the oceans.,Write a persuasive argument for the need for ocean conservation.,Advocate for the preservation and conservation of our oceans.
Why is Frida Kahlo important?,Discuss the influence of Frida Kahlo on the feminist art movement.,Why is Frida Kahlo a significant historical figure? Elaborate on her contributions to art and culture.
Write a horror story in an asylum.,Write a captivating story set in a haunted Victorian era asylum.,Craft a chilling tale set within the haunted halls of a mental institution.
"What does ""Atlas Shrugged"" say about identity and individualism?","Analyze the exploration of identity and individualism in Ayn Rand's ""Atlas Shrugged.""","How does ""Atlas Shrugged"" explore and portray the themes of identity and individualism?"
Write about rafting in Colorado.,Write a detailed account of a thrilling whitewater rafting adventure in Colorado.,"Explore the thrilling experience of white-water rafting along Colorado's scenic rivers, highlighting the adventure, natural beauty, and unique challenges it offers."
What can robots do for manufacturing?,Discuss the potential applications and implications of robotics in manufacturing.,How are robots revolutionizing the manufacturing industry?
Write a vampire story in New York City.,Write a vampire romance story set in modern-day New York City.,Craft a chilling vampire tale set amidst the bustling metropolis of New York City.
"What does ""The Color Purple"" say about family and heritage?","Analyze the portrayal of family and heritage in Alice Walker's ""The Color Purple.""","How does the narrative of ""The Color Purple"" explore and portray the themes of family and heritage?"
Write about the northern lights in Iceland.,Write a vivid account of a magical northern lights experience in Iceland.,"Describe the captivating experience of witnessing the aurora borealis, or northern lights, as they illuminate the night sky in Iceland. Discuss the ideal locations, time, and conditions to observe this mesmerizing natural phenomenon."
What can blockchain do for finance?,Discuss the potential implications of blockchain technology in the financial sector.,How can blockchain technology revolutionize the financial sector?
Write a story about a cloud.,Write a whimsical story about a day in the life of a cloud.,"Compose a creative narrative featuring an anthropomorphized cloud character, focusing on its journey and experiences."
What's gravity?,Explain the concept of gravity to a second-grade student.,Rewritten Prompt: Can you explain the concept of gravitational force?
"Write about ""Pride and Prejudice"".","Write a critical essay on the portrayal of society in Jane Austen's ""Pride and Prejudice.""","Discuss the themes, characters, and literary significance of Jane Austen's novel, ""Pride and Prejudice"". Evaluate Austen's use of social commentary and critique of 19th-century English society."
What did the Industrial Revolution do to the working class?,Discuss the impact of the Industrial Revolution on the working class.,How did the Industrial Revolution impact the lives of the working class?
Write a story about an adventure in Atlantis.,Write an exciting adventure story about an archaeological expedition in the lost city of Atlantis.,Embark on a thrilling journey by crafting a tale set in the mystical city of Atlantis. Delve into the unique challenges and encounters your characters face as they explore this legendary underwater realm.
"What does ""Huckleberry Finn"" say about human nature and morality?","Analyze the exploration of human nature and morality in Mark Twain's ""Adventures of Huckleberry Finn.""","Revised Prompt: Analyze the portrayal of human nature and morality in the character and narrative of ""Huckleberry Finn""."
Write about a parade in New Orleans.,Write a vivid account of a vibrant Mardi Gras parade in New Orleans.,"""Describe a vibrant and lively parade taking place in the heart of New Orleans, highlighting its unique cultural elements."""
What can augmented reality do for education?,Discuss the implications of augmented reality on education and training.,How can augmented reality enhance learning and educational experiences?
Write a story about a lighthouse on a stormy night.,Write a chilling horror story set in an isolated lighthouse on a stormy night.,"Compose a narrative set during a tumultuous night, centered around a steadfast lighthouse guiding sailors amidst the tempest."
What's photosynthesis?,Explain the process of photosynthesis to an eighth-grade student.,Rewritten Prompt: Could you please explain the process of photosynthesis in plants?
Write about satire in Mark Twain's works.,Write a comprehensive critique of the use of satire in Mark Twain's works.,Discuss the use of satire as a literary device in the works of Mark Twain.
What did the Civil Rights Movement do to America?,Discuss the socio-economic impact of the Civil Rights Movement in America.,How did the impact of the Civil Rights Movement shape modern America?
Write a story about a journey through the Amazon.,Write a suspenseful short story about a perilous journey through the Amazon Rainforest.,"Embark on a narrative that explores a voyage through the heart of the Amazon rainforest. This tale should vividly depict the challenges, discoveries, and transformations experienced by the traveler, immersing readers in the lush, diverse, and often perilous world of the Amazon."
"What does ""Fahrenheit 451"" say about the individual and society?","Analyze the theme of the individual vs. society in Ray Bradbury's ""Fahrenheit 451.""","Revised Prompt: Analyze the themes in ""Fahrenheit 451"" that explore the relationship between the individual and society."
Write a story about children building a snowman.,Write a heartening story about a group of children building the biggest snowman in their town.,Craft a narrative featuring young characters collaborating to construct a snowman.
What's the history of rock music?,Discuss the cultural significance and evolution of the rock music genre.,Discover the origins and evolution of rock music throughout history.
Write a story about a world where memories are deleted.,Write a dystopian story about a society where memories are deleted at the end of each day.,Craft a narrative set in a universe where individuals' memories are systematically erased.
What's evaporation and condensation?,Explain the concept of evaporation and condensation to a fifth-grade student.,Rewritten Prompt: Could you explain the processes of evaporation and condensation?
Argue for reducing plastic waste.,Write a persuasive argument for the reduction of plastic waste.,Advocate for the minimization of plastic waste and its detrimental impact on the environment. Explain the urgency for decreasing plastic pollution and propose feasible solutions.
Why is Picasso important?,Discuss the influence of Pablo Picasso on modern art.,Expand on Picasso's significance in the art world. Explain his unique contributions and influence on modern art.
Write a mystery story in a magic school.,Write a mystery story set in a prestigious magic school.,"Craft a suspenseful tale set in a school of sorcery, filled with enigmatic puzzles and mystical intrigue."
"What does ""A Clockwork Orange"" say about freedom and determinism?","Analyze the exploration of freedom and determinism in Anthony Burgess' ""A Clockwork Orange.""","Revised Prompt: Analyze the themes of freedom and determinism as depicted in ""A Clockwork Orange"". How does the novel explore the relationship between these two concepts?"
Write about Diwali in India.,Write a detailed account of a grand Diwali celebration in India.,"Comprehensively discuss the significance, traditions, and festivities of Diwali as celebrated in India."
What can gene editing do for healthcare?,Discuss the potential applications and implications of gene editing in healthcare.,How is gene editing revolutionizing healthcare and what are its potential applications?
Write a romance story in the court of King Louis XIV.,Write a historical romance story set in the court of King Louis XIV.,Craft a captivating romantic tale set amid the splendor of King Louis XIV's court.
"What does ""War and Peace"" say about war and peace?","Analyze the portrayal of war and peace in Leo Tolstoy's ""War and Peace.""","Refined Prompt: How does the narrative in ""War and Peace"" explore the themes of war and peace? Could you provide an analysis without using specific examples?"
Write about a fish market in Japan.,Write a vivid account of a bustling morning in a traditional Japanese fish market.,"Describe the lively atmosphere and unique features of a traditional Japanese fish market. Discuss the variety of seafood, interactions between vendors and customers, and cultural significance within Japanese cuisine."
What can deep learning do for data analysis?,Discuss the potential implications of deep learning algorithms in data analysis.,How does deep learning enhance data analysis capabilities?
Write a story about aliens and humans.,Write a humorous story about a group of aliens learning to understand human culture.,"Craft a captivating narrative involving extraterrestrial beings and Earth inhabitants, focusing on their interaction and potential discovery."
What's climate change?,Explain the concept of climate change to a ninth-grade student.,Rewritten Prompt: Can you explain the concept of global climate change?
"Write about ""1984"".","Write a critical essay on the portrayal of the future in George Orwell's ""1984.""","Discuss the themes, literary significance, and enduring relevance of George Orwell's renowned dystopian novel, ""1984""."
What did the French Revolution do to Europe?,Discuss the impact of the French Revolution on European politics.,"Revision: ""How did the French Revolution impact Europe?""

Explanation: The revised prompt is more concise and direct, and it uses the word ""impact"" to invite a broader analysis of the effects of the French Revolution on Europe. The original prompt was more vague and open-ended, while the revised prompt encourages a more focused response. Additionally, the revised prompt avoids using the word ""do,"" which can imply that the French Revolution was an active agent, rather than a complex historical event with various consequences."
Write a story about a mapmaker.,Write an enchanting fantasy story about a mapmaker who creates magical worlds.,"Craft a narrative featuring a skilled cartographer who meticulously creates and illustrates maps, potentially encountering challenges, adventures, or discoveries along the way."
"What does ""The Great Gatsby"" say about illusion and reality?","Analyze the exploration of illusion and reality in F. Scott Fitzgerald's ""The Great Gatsby.""","How does F. Scott Fitzgerald explore the theme of illusion versus reality in ""The Great Gatsby""?"
Write about a night market in Taiwan.,Write a vivid account of the bustling night markets in Taiwan.,"Explore the vibrant atmosphere of a Taiwanese night market, discussing its unique offerings, cultural significance, and sensory experiences."
What can quantum computing do for cybersecurity?,Discuss the implications of quantum computing on cybersecurity.,How does quantum computing enhance cybersecurity capabilities?
Write a crime story in Tokyo.,Write a thrilling crime story set in the neon-lit streets of Tokyo.,"Craft a suspenseful crime narrative set in the heart of Tokyo, delving into its vibrant culture and underworld."
What's an ecosystem?,Explain the concept of the ecosystem to a third-grade student.,"Refined Prompt: Could you provide a concise and informative definition of an ecosystem, including its key components and characteristics?"
Write about irony in Oscar Wilde's works.,Write a comprehensive critique of the use of irony in Oscar Wilde's works.,"Analyze the use of irony, a prevalent literary device, in the works of Oscar Wilde. Discuss how Wilde employs irony to critique society and challenge social norms of his time."
What did the LGBTQ+ rights movement do?,Discuss the socio-cultural impact of the LGBTQ+ rights movement.,Reframed Prompt: Could you provide an overview of the significant accomplishments of the LGBTQ+ rights movement?
Write a story about a mountain climbing.,Write a suspenseful short story about a mountaineering expedition gone wrong on Mount Everest.,Craft a narrative involving the challenge and triumph of ascending a towering peak.
"What does ""Lord of the Flies"" say about civilization and savagery?","Analyze the theme of civilization and savagery in William Golding's ""Lord of the Flies.""","Revised Prompt: ""In the context of 'Lord of the Flies', how does the author depict the interplay between civilization and savagery?"""
Write a story about a community and a park.,Write an inspiring story about a local community coming together to save their park.,"Craft a narrative centered around a neighborhood and their beloved local park, highlighting the significance of this communal space."
What's the history of pop music?,Discuss the cultural significance and evolution of the pop music genre.,Trace the origins and evolution of pop music throughout history.
Write a story about a world where dreams are recorded.,Write a dystopian story about a society where dreams are recorded and monitored.,"Compose a narrative set in a universe where dream sequences are systematically documented and preserved, exploring the implications and consequences of this phenomenon."
What's symbiosis?,Explain the concept of symbiosis to a tenth-grade student.,"Prompt to improve: Could you explain what symbiosis is, possibly including different types of symbiotic relationships?"
Argue for space exploration.,Write a persuasive argument for the importance of space exploration.,"Justify the importance and benefits of space exploration. Elaborate on the significance of this endeavor for scientific advancement, potential discoveries, and the future of humanity."
Why is Van Gogh important?,Discuss the influence of Vincent Van Gogh on post-impressionist art.,Why is Vincent van Gogh a significant figure in art history?
Write a spooky story in an amusement park.,Write a spooky story set in a haunted amusement park.,Craft a chilling tale set within the thrilling backdrop of an amusement park.
"What does ""To the Lighthouse"" say about truth and perception?","Analyze the exploration of truth and perception in Virginia Woolf's ""To the Lighthouse.""","How does Virginia Woolf explore the themes of truth and perception in ""To the Lighthouse""?"
Write about rafting in the Grand Canyon.,Write a detailed account of a thrilling whitewater rafting adventure in the Grand Canyon.,"Experience the exhilarating adventure of rafting through the Grand Canyon. Elaborate on the thrilling whitewater rapids, breathtaking scenery, and unique geological formations that make this journey unforgettable. Discuss the preparation, equipment, and physical demands required for rafting in this iconic location."
What can AI do for transportation?,Discuss the potential applications and implications of artificial intelligence in transportation.,How can artificial intelligence be utilized to enhance transportation systems?
Write a cowboy story.,Write a western story about a lone cowboy's pursuit of justice in a lawless frontier town.,"Craft a captivating tale set in the Wild West, featuring a cowboy protagonist. Ensure your narrative includes elements such as adventure, danger, and heroism."
"What does ""Wuthering Heights"" say about love and hate?","Analyze the portrayal of love and hate in Emily Brontë's ""Wuthering Heights.""","Revised Prompt: Discuss the themes of love and hate as explored in ""Wuthering Heights,"" offering insights into their complex interrelationship and representation in the novel."
Write about ziplining in Costa Rica.,Write a vivid account of an exhilarating zipline ride over the Costa Rican rainforest.,"Embark on an exhilarating journey through Costa Rica's lush rainforests by ziplining. Discuss the thrilling experience, breathtaking views, and the unique opportunity to immerse oneself in nature from a bird's-eye perspective."
What can autonomous vehicles do for urban planning?,Discuss the potential implications of autonomous vehicles in urban planning.,How can the advent of autonomous vehicles impact and optimize urban planning strategies?
Write a story about animals in winter.,Write a heartwarming story about a group of animals preparing for winter.,"Craft a narrative featuring animals enduring the winter season, highlighting their unique survival strategies and interactions."
What's the solar system?,Explain the concept of the solar system to a fourth-grade student.,"""Could you please explain the fundamental structure and composition of the solar system?"""
"Write about ""In Search of Lost Time"".","Write a critical essay on the portrayal of the past in Marcel Proust's ""In Search of Lost Time.""","Discuss the theme, literary significance, and impact of Marcel Proust's novel ""In Search of Lost Time""."
What did the internet do to print media?,Discuss the impact of the internet on print media.,How has the internet impacted the print media industry?
Write a spy story.,Write a thrilling spy story set during the Cold War.,"Craft a thrilling narrative centered around the clandestine world of espionage. Your story should include elements such as a covert mission, a skilled spy, a formidable adversary, and a unique gadget. Ensure the plot is engaging and full of suspense."
"What does ""Macbeth"" say about ambition and power?","Analyze the exploration of ambition and power in William Shakespeare's ""Macbeth.""","Refined prompt: Analyze the themes of ambition and power within ""Macbeth"", and discuss their implications."
Write about a sunrise on Mount Kilimanjaro.,Write a vivid account of the sunrise from the peak of Mount Kilimanjaro.,"Narrate the captivating spectacle of dawn breaking over Mount Kilimanjaro, detailing the atmospheric transformations and the mountain's grandeur."
What can virtual reality do for gaming?,Discuss the implications of virtual reality on entertainment and gaming.,How does virtual reality enhance the gaming experience?
Write a mystery story in Venice.,Write a captivating mystery story set in the labyrinthine streets of Venice.,"Craft a suspenseful narrative set in the captivating city of Venice, immersing readers in its labyrinthine canals and enigmatic atmosphere."
What's biodiversity?,Explain the concept of biodiversity to a sixth-grade student.,"""Can you explain the concept of biodiversity?"" This revised prompt is more concise and direct, encouraging a focused explanation without any specific examples or excessive length."
Write about foreshadowing in Agatha Christie's works.,Write a comprehensive critique of the use of foreshadowing in Agatha Christie's works.,"""Discuss the use of foreshadowing as a literary device in Agatha Christie's novels.""

Foreshadowing is a technique used by authors to give the reader a hint about what will happen later in the story. Agatha Christie, known for her mystery novels, frequently employed foreshadowing to keep her readers engaged and guessing. Your task is to analyze how Christie uses this technique to build suspense and maintain the mystery in her works."
What did the Women's Rights Movement do?,Discuss the socio-cultural impact of the Women's Rights Movement.,Revised Prompt: Could you outline the key achievements and impacts of the Women's Rights Movement?
Write a story about a diamond heist.,Write a suspenseful short story about a daring diamond heist in Antwerp.,"Craft a captivating narrative centered around an elaborate diamond heist, detailing the planning, execution, and aftermath of the operation."
"What does ""For Whom the Bell Tolls"" say about life and death?","Analyze the theme of life and death in Ernest Hemingway's ""For Whom the Bell Tolls.""","""In 'For Whom the Bell Tolls', how are the themes of life and death explored and what insights do they offer about the human condition?"""
Write a story about a farmer and animals.,Write a heartwarming story about a farmer who turns his land into a wildlife sanctuary.,Craft a narrative featuring a rural farmer and his relationship with the animals on his land.
What's the history of hip-hop music?,Discuss the cultural significance and evolution of the hip-hop music genre.,Trace the origins and evolution of hip-hop music throughout history.
Write a story about a world where aging is a crime.,Write a dystopian story about a society where aging is considered a crime.,Compose a narrative set in a society where the act of growing older is deemed unlawful. Explore the implications and consequences of this unique law.
What's force and motion?,Explain the concept of force and motion to a seventh-grade student.,"Refined Prompt: Please explain the concepts of force and motion, detailing their individual definitions and how they relate to one another."
Argue for renewable energy.,Write a persuasive argument for the need for renewable energy.,"Advocate for the adoption and implementation of renewable energy sources. Discuss the environmental, economic, and long-term benefits of transitioning from fossil fuels to renewable energy. Explain why renewable energy is essential for a sustainable future."
Why is Da Vinci important?,Discuss the influence of Leonardo Da Vinci on the Renaissance art.,Explain the significance and contributions of Leonardo da Vinci.
Write a thriller in a space station.,Write a suspenseful thriller set in an international space station.,"Craft a gripping tale set aboard an isolated space station that combines suspense, mystery, and science fiction elements."
"What does ""Great Expectations"" say about social class and inequality?","Analyze the exploration of social class and inequality in Charles Dickens' ""Great Expectations.""","Revised Prompt: How does the novel ""Great Expectations"" explore themes of social class distinctions and inequality?"
Write about Holi in India.,Write a detailed account of a vibrant Holi celebration in India.,"""Describe the cultural significance, traditions, and festivities associated with the Holi celebration in India."""
What can nanotechnology do for medicine?,Discuss the potential applications and implications of nanotechnology in medicine.,"Rewritten prompt: ""Explain the potential applications and benefits of nanotechnology in the medical field."""
Write a pirate story.,Write a swashbuckling pirate story set in the Caribbean during the golden age of piracy.,"Craft a captivating tale set in the golden age of piracy, featuring a rogue captain and their seafaring crew."
"What does ""Harry Potter"" say about friendship and loyalty?","Analyze the portrayal of friendship and loyalty in J.K. Rowling's ""Harry Potter"" series.","How does the narrative of ""Harry Potter"" depict the themes of friendship and loyalty?"
Write about a bakery in Italy.,Write a vivid account of a bustling morning in a traditional Italian bakery.,"Describe the characteristics and offerings of an Italian bakery, including its atmosphere, specialties, and local significance."
What can 3D printing do for manufacturing and construction?,Discuss the potential implications of 3D printing in manufacturing and construction.,"Revised Prompt: ""Explain the potential benefits and applications of 3D printing technology in the manufacturing and construction industries."""
Write a story about a mermaid.,Write a fairytale about a mermaid who wishes to live on land.,"Craft a captivating tale featuring a mystical sea creature, the mermaid. Explore her unique world and encounters, showcasing her enchanting abilities and characteristics."
What's the water cycle?,Explain the concept of the water cycle to a second-grade student.,Rewritten Prompt: Could you explain the process and stages of the water cycle?
"Write about ""Far from the Madding Crowd"".","Write a critical essay on the portrayal of the urban and rural divide in Thomas Hardy's ""Far from the Madding Crowd.""","Discuss the themes and literary elements in Thomas Hardy's novel, ""Far from the Madding Crowd""."
What did social media do to youth culture?,Discuss the impact of social media on youth culture.,How has social media influenced modern youth culture?
Write a detective story in Las Vegas.,Write a high stakes detective story set in Las Vegas.,Craft a captivating detective tale set against the glittering backdrop of Las Vegas.
"What does ""The Color Purple"" say about family and heritage?","Analyze the exploration of family and heritage in Alice Walker's ""The Color Purple.""","How does ""The Color Purple"" depict the themes of family and heritage? Elaborate on the significance of these themes in the narrative."
Write about the Serengeti migration.,Write a vivid account of the Serengeti migration from the perspective of a wildebeest.,"Detail the annual Serengeti migration, focusing on its significance, participants, and the challenges they face."
What can blockchain technology do for financial services?,Discuss the implications of blockchain technology on financial services.,How is blockchain technology revolutionizing financial services?
Write a mystery story in a ghost town.,Write a thrilling mystery story set in a forgotten ghost town in the American West.,"Craft a suspenseful narrative set in an abandoned, forgotten settlement. The ghost town should serve as the backdrop for an intriguing mystery that needs to be unraveled."
What's gravity?,Explain the concept of gravity to a first-grade student.,"**Improved Prompt:** Could you provide an explanation of the fundamental concept of gravity, including its definition and significance?"
Write about symbolism in Nathaniel Hawthorne's works.,Write a comprehensive critique of the use of symbolism in Nathaniel Hawthorne's works.,"Explore the use of symbolism in Nathaniel Hawthorne's literary works, discussing its significance and impact on the overall themes and messages."
What did the Disability Rights Movement do?,Discuss the socio-cultural impact of the Disability Rights Movement.,Revised Prompt: Describe the impact and accomplishments of the Disability Rights Movement.
Write a story about an escape from a submarine.,Write a suspenseful short story about an escape from a sunken submarine.,"Compose a thrilling narrative about a daring underwater escape from a malfunctioning submarine, detailing the challenges and triumphs faced by the crew."
"What does ""Do Androids Dream of Electric Sheep?"" say about reality and illusion?","Analyze the theme of reality and illusion in Philip K. Dick's ""Do Androids Dream of Electric Sheep?""","How does ""Do Androids Dream of Electric Sheep?"" explore the themes of reality versus illusion? Elaborate on the portrayal of authenticity and deception in the narrative."
Write a story about an elderly couple on a road trip.,Write a heartwarming story about an elderly couple taking a road trip across America.,Craft a narrative featuring a seasoned couple embarking on a journey across the countryside by car.
What's the history of jazz music?,Discuss the cultural significance and evolution of the jazz music genre.,Trace the evolution and key developments in the history of jazz music.
Write a story about a world without emotions.,Write a dystopian story about a society where emotions are outlawed.,"Compose a narrative set in an emotionless world. Describe the society, daily life, and potential conflicts in this unique scenario. Maintain brevity and avoid providing response examples."
What's photosynthesis?,Explain the concept of photosynthesis to a fifth-grade student.,Rewritten prompt: Can you explain the process and significance of photosynthesis?
Argue for preserving endangered species.,Write a persuasive argument for the importance of preserving endangered species.,"Justify the importance of safeguarding threatened species for future generations. Elaborate on the ecological, ethical, and practical reasons to conserve endangered wildlife."
Why is Frida Kahlo important?,Discuss the influence of Frida Kahlo on surrealism and symbolism in art.,Reframed prompt: What significant contributions did Frida Kahlo make to the art world and society?
Write a thriller in a research facility.,Write a suspenseful thriller set in a secret research facility in Antarctica.,"Craft a suspenseful narrative set within a cutting-edge research facility, filled with unexpected twists and turns."
"What does ""The Brothers Karamazov"" say about religion and spirituality?","Analyze the exploration of religion and spirituality in Fyodor Dostoevsky's ""The Brothers Karamazov.""","How does Fyodor Dostoevsky explore and express views on religion and spirituality in ""The Brothers Karamazov""?"
Write about Chinese New Year.,Write a detailed account of a traditional Chinese New Year celebration.,"Compose an informative essay on the significance, traditions, and celebrations associated with the Chinese New Year."
What can robotics do for surgery?,Discuss the potential applications and implications of robotics in surgery.,Enhance the following prompt: Explain the applications and benefits of robotics in surgical procedures.
Write a story about the Trojan War.,Write a historical epic about a general leading his army in the Trojan War.,"Craft a narrative centered around the historic Trojan War, detailing its cause, key events, and ultimate resolution."
"What does ""Songs of Innocence and of Experience"" say about innocence and experience?","Analyze the portrayal of innocence and experience in William Blake's ""Songs of Innocence and of Experience.""","How does ""Songs of Innocence and of Experience"" explore and contrast the themes of innocence and experience?"
Write about a hot air balloon ride in Australia.,Write a vivid account of a hot air balloon ride over the Australian Outback.,"Experience an exhilarating hot air balloon voyage across Australia's captivating landscapes. Describe the sensations, sights, and unique aspects of this unforgettable adventure, from the moment you ascend to the gentle touchdown. Consider the weather, wildlife, and the emotions this journey evokes."
What can augmented reality do for architecture and design?,Discuss the potential implications of augmented reality in architecture and design.,How does augmented reality enhance architecture and design processes?
Write a story about a floating city.,Write a sci-fi story about a civilization living on a floating city in the clouds.,"Craft a narrative set in an airborne metropolis, an extraordinary city suspended in the sky."
What's the food chain?,Explain the concept of the food chain to a third-grade student.,Revised Prompt: Can you explain the concept of a food chain in an ecosystem?
"Write about ""The Great Gatsby"".","Write a critical essay on the portrayal of the American Dream in F. Scott Fitzgerald's ""The Great Gatsby.""","Discuss the themes and literary elements in ""The Great Gatsby""."
What did global warming do to polar ice caps?,Discuss the impact of global warming on polar ice caps.,How has global warming impacted the polar ice caps?
Write a noir story in Los Angeles.,Write a gripping noir story set in 1940s Los Angeles.,"Craft a riveting noir tale set against the backdrop of Los Angeles. Ensure your narrative embodies the genre's classic elements: a hard-boiled detective, a femme fatale, and a labyrinthine plot filled with suspense, intrigue, and moral ambiguity."
"What does ""To Kill a Mockingbird"" say about justice and morality?","Analyze the exploration of justice and morality in Harper Lee's ""To Kill a Mockingbird.""","How does Harper Lee explore the themes of justice and morality in ""To Kill a Mockingbird""?"
Write about Flamenco in Spain.,"Write a vivid account of the Flamenco dancing scene in Andalusia, Spain.","Compose an essay detailing the history, characteristics, and cultural significance of Flamenco in Spanish society."
What can machine learning do for data analysis?,Discuss the implications of machine learning on data analysis.,Enhanced Prompt: How does machine learning enhance and streamline the process of data analysis?
Write an adventure story in a temple.,"Write an action-packed adventure story set in an ancient, forgotten temple in the Cambodian jungle.","Embark on a thrilling narrative set within an ancient temple, filled with danger, mystery, and discovery. Explore its hidden chambers, decipher cryptic riddles, and unravel the temple's enigmatic past. Highlight the protagonist's courage and wit while navigating the temple's perils."
What's evaporation?,Explain the concept of evaporation to a fourth-grade student.,Rewritten Prompt: Can you explain the process of evaporation in a simple manner?
Write about allegory in George Orwell's works.,Write a comprehensive critique of the use of allegory in George Orwell's works.,Elaborate on the concept of allegory and its significance in George Orwell's literary works.
What did the Civil Rights Movement do?,Discuss the socio-cultural impact of the Civil Rights Movement.,How did the Civil Rights Movement bring about significant social and political change?
Write a story about defusing a bomb.,Write a suspenseful short story about a mission to defuse a bomb in a crowded city.,"Craft a narrative where a team of experts must meticulously disarm a sophisticated explosive device, emphasizing their precision, teamwork, and tension."
"What does ""The Catcher in the Rye"" say about self-discovery and identity?","Analyze the theme of self-discovery and identity in J.D. Salinger's ""The Catcher in the Rye.""","How does J.D. Salinger explore the themes of self-discovery and identity in ""The Catcher in the Rye""?"
Write a story about a stray dog.,Write a heartwarming story about a stray dog who becomes a hero in a small town.,"Compose a tale featuring a homeless canine, highlighting its struggles, encounters, and potential transformation."
What's the history of country music?,Discuss the cultural significance and evolution of the country music genre.,Discover the origins and evolution of country music throughout history.
Write a story about a world where memories are bought and sold.,Write a dystopian story about a society where memories are bought and sold.,"Imagine a universe where recollections are traded commodities, a realm where nostalgia, secrets, and experiences can be exchanged for a price. In this world, memories are the new currency, shaping society and influencing individual lives in profound ways. How does this unique economy impact relationships, morality, and personal identity? Craft an engaging narrative that explores the consequences of memory trade, the value of personal experiences, and the lengths people will go to acquire or protect their most precious memories."
What's the water cycle?,Explain the concept of the water cycle to a second-grade student.,Rewritten Prompt: Could you explain the process and stages of the water cycle?
Argue for electric vehicles.,Write a persuasive argument for the adoption of electric vehicles.,Present compelling reasons why electric vehicles are advantageous.
Why is Rembrandt important?,Discuss the influence of Rembrandt on the Dutch Golden Age of painting.,Prompt to improve: What significant contributions did Rembrandt make to the art world?
Write a thriller in a prison.,Write a suspenseful thriller set in a maximum-security prison.,"Craft a suspenseful narrative set within the confines of a maximum-security penitentiary. The plot should be filled with tension and unexpected twists, highlighting the challenges and dangers faced by the characters in this restricted environment."
"What does ""Pride and Prejudice"" say about societal norms and individual freedom?","Analyze the exploration of societal norms and individual freedom in Jane Austen's ""Pride and Prejudice.""","Revised prompt: How does ""Pride and Prejudice"" explore and challenge the societal norms and expectations of its time, and what implications does this have for individual freedom?"
Write about a Japanese tea ceremony.,Write a detailed account of a traditional Japanese tea ceremony.,"Compose an essay on the intricacies and cultural significance of the traditional Japanese tea ceremony, known as Chado or Sado. Discuss its history, rituals, and the importance of harmony, respect, purity, and tranquility in this ceremonial practice."
What can virtual reality do for education?,Discuss the potential applications and implications of virtual reality in education.,How can virtual reality enhance the educational experience?
Write a romance story in Paris.,Write a romantic story set during the construction of the Eiffel Tower.,"Compose a romantic tale set against the enchanting backdrop of Paris, highlighting its picturesque landmarks and charming ambiance."
"What does ""War and Peace"" say about war and peace?","Analyze the portrayal of war and peace in Leo Tolstoy's ""War and Peace.""","How does ""War and Peace"" explore the themes of war and peace? Elaborate on the novel's perspective and insights regarding these themes."
Write about a carnival in Brazil.,"Write a vivid account of a lively carnival parade in Rio de Janeiro, Brazil.","Compose a detailed description of a vibrant carnival celebration in Brazil, highlighting its unique cultural elements and atmosphere."
What can bioengineering do for agriculture?,Discuss the potential implications of bioengineering in agriculture.,"Rewritten prompt: ""Explain the potential applications and benefits of bioengineering in the field of agriculture."""
Write a horror story in an insane asylum.,Write a horror story set in an abandoned insane asylum.,Craft a chilling tale set within the confines of a sinister mental institution.
What's photosynthesis?,Explain the concept of photosynthesis to a fifth-grade student.,Revised Prompt: Can you explain the process of photosynthesis in plants? Please provide a concise and informative response.
What's the Amazon and what happens if we cut it down?,Describe the ecological significance of the Amazon Rainforest and the impact of deforestation.,"Rewritten Prompt:

Explain the significance of the Amazon rainforest and discuss the potential consequences of deforestation in this region."
Write a spy story in the Cold War.,Write a gripping espionage story set during the Cold War era.,"Craft a suspenseful tale set during the Cold War era, featuring an espionage agent as the main character."
